2643,2
79e7,e2,5e
79e9,92,81
79ec,e2,5f
79f0,8f,cc
79fb,88,da
7a00,8b,48
7a08,e2,62
7a0b,92,f6
7a0d,e2,63
7a0e,90,c5
7a14,96,ab
7a17,95,42
7a18,e2,64
7a19,e2,65
7a1a,92,74
7a1c,97,c5
7a1f,e2,67
7a20,e2,66
7a2e,8e,ed
7a31,e2,69
7a32,88,ee
7a37,e2,6c
7a3b,e2,6a
7a3c,89,d2
7a3d,8c,6d
7a3e,e2,6b
7a3f,8d,65
7a40,8d,92
7a42,95,e4
7a43,e2,6d
7a46,96,73
7a49,e2,6f
7a4d,90,cf
7a4e,89,6e
7a4f,89,b8
7a50,88,aa
7a57,e2,6e
7a61,e2,70
7a62,e2,71
7a63,8f,f5
7a69,e2,72
7a6b,8a,6e
7a70,e2,74
7a74,8c,8a
7a76,8b,86
7a79,e2,75
7a7a,8b,f3
7a7d,e2,76
7a7f,90,fa
7a81,93,cb
7a83,90,de
7a84,8d,f3
7a88,e2,77
7a92,92,82
7a93,91,8b
7a95,e2,79
7a96,e2,7b
7a97,e2,78
7a98,e2,7a
7a9f,8c,41
7aa9,e2,7c
7aaa,8c,45
7aae,8b,87
7aaf,97,71
7ab0,e2,7e
7ab6,e2,80
7aba,89,4d
7abf,e2,83
7ac3,8a,96
7ac4,e2,82
7ac5,e2,81
7ac7,e2,85
7ac8,e2,7d
7aca,e2,86
7acb,97,a7
7acd,e2,87
7acf,e2,88
7ad1,ee,67
7ad1,fb,84
7ad2,9a,f2
7ad3,e2,8a
7ad5,e2,89
7ad9,e2,8b
7ada,e2,8c
7adc,97,b3
7add,e2,8d
7adf,e8,ed
7ae0,8f,cd
7ae1,e2,8e
7ae2,e2,8f
7ae3,8f,76
7ae5,93,b6
7ae6,e2,90
7ae7,ee,68
7ae7,fb,85
7aea,92,47
7aeb,ee,6a
7aeb,fb,87
7aed,e2,91
7aef,92,5b
7af0,e2,92
7af6,8b,a3
7af8,99,5e
7af9,92,7c
7afa,8e,b1
7aff,8a,c6
7b02,e2,93
7b04,e2,a0
7b06,e2,96
7b08,8b,88
7b0a,e2,95
7b0b,e2,a2
7b0f,e2,94
7b11,8f,ce
7b18,e2,98
7b19,e2,99
7b1b,93,4a
7b1e,e2,9a
7b20,8a,7d
7b25,90,79
7b26,95,84
7b28,e2,9c
7b2c,91,e6
7b33,e2,97
7b35,e2,9b
7b36,e2,9d
7b39,8d,f9
7b45,e2,a4
7b46,95,4d
7b48,94,a4
7b49,93,99
7b4b,8b,d8
7b4c,e2,a3
7b4d,e2,a1
7b4f,94,b3
7b50,e2,9e
7b51,92,7d
7b52,93,9b
7b54,93,9a
7b56,8d,f4
7b5d,e2,b6
7b65,e2,a6
7b67,e2,a8
7b6c,e2,ab
7b6e,e2,ac
7b70,e2,a9
7b71,e2,aa
7b74,e2,a7
7b75,e2,a5
7b7a,e2,9f
7b86,95,cd
7b87,89,d3
7b8b,e2,b3
7b8d,e2,b0
7b8f,e2,b5
7b92,e2,b4
7b94,94,93
7b95,96,a5
7b97,8e,5a
7b98,e2,ae
7b99,e2,b7
7b9a,e2,b2
7b9c,e2,b1
7b9d,e2,ad
7b9e,ee,6b
7b9e,fb,88
7b9f,e2,af
7ba1,8a,c7
7baa,92,5c
7bad,90,fb
7bb1,94,a0
7bb4,e2,bc
7bb8,94,a2
7bc0,90,df
7bc1,e2,b9
7bc4,94,cd
7bc6,e2,bd
7bc7,95,d1
7bc9,92,7a
7bcb,e2,b8
7bcc,e2,ba
7bcf,e2,bb
7bdd,e2,be
7be0,8e,c2
7be4,93,c4
7be5,e2,c3
7be6,e2,c2
7be9,e2,bf
7bed,98,55
7bf3,e2,c8
7bf6,e2,cc
7bf7,e2,c9
7c00,e2,c5
7c07,e2,c6
7c0d,e2,cb
7c11,e2,c0
7c12,99,d3
7c13,e2,c7
7c14,e2,c1
7c17,e2,ca
7c1f,e2,d0
7c21,8a,c8
7c23,e2,cd
7c27,e2,ce
7c2a,e2,cf
7c2b,e2,d2
7c37,e2,d1
7c38,94,f4
7c3d,e2,d3
7c3e,97,fa
7c3f,95,eb
7c40,e2,d8
7c43,e2,d5
7c4c,e2,d4
7c4d,90,d0
7c4f,e2,d7
7c50,e2,d9
7c54,e2,d6
7c56,e2,dd
7c58,e2,da
7c5f,e2,db
7c60,e2,c4
7c64,e2,dc
7c65,e2,de
7c6c,e2,df
7c73,95,c4
7c75,e2,e0
7c7e,96,e0
7c81,8b,cc
7c82,8c,48
7c83,e2,e1
7c89,95,b2
7c8b,90,88
7c8d,96,ae
7c90,e2,e2
7c92,97,b1
7c95,94,94
7c97,91,65
7c98,94,53
7c9b,8f,6c
7c9f,88,be
7ca1,e2,e7
7ca2,e2,e5
7ca4,e2,e3
7ca5,8a,9f
7ca7,8f,cf
7ca8,e2,e8
7cab,e2,e6
7cad,e2,e4
7cae,e2,ec
7cb1,e2,eb
7cb2,e2,ea
7cb3,e2,e9
7cb9,e2,ed
7cbd,e2,ee
7cbe,90,b8
7cc0,e2,ef
7cc2,e2,f1
7cc5,e2,f0
7cca,8c,d0
7cce,91,57
7cd2,e2,f3
7cd6,93,9c
7cd8,e2,f2
7cdc,e2,f4
7cde,95,b3
7cdf,91,8c
7ce0,8d,66
7ce2,e2,f5
7ce7,97,c6
7cef,e2,f7
7cf2,e2,f8
7cf4,e2,f9
7cf6,e2,fa
7cf8,8e,85
7cfa,e2,fb
7cfb,8c,6e
7cfe,8b,8a
7d00,8b,49
7d02,e3,40
7d04,96,f1
7d05,8d,67
7d06,e2,fc
7d0a,e3,43
7d0b,96,e4
7d0d,94,5b
7d10,95,52
7d14,8f,83
7d15,e3,42
7d17,8e,d1
7d18,8d,68
7d19,8e,86
7d1a,8b,89
7d1b,95,b4
7d1c,e3,41
7d20,91,66
7d21,96,61
7d22,8d,f5
7d2b,8e,87
7d2c,92,db
7d2e,e3,46
7d2f,97,dd
7d30,8d,d7
7d32,e3,47
7d33,90,61
7d35,e3,49
7d39,8f,d0
7d3a,8d,ae
7d3f,e3,48
7d42,8f,49
7d43,8c,bc
7d44,91,67
7d45,e3,44
7d46,e3,4a
7d48,ee,6d
7d48,fb,8a
7d4b,e3,45
7d4c,8c,6f
7d4e,e3,4d
7d4f,e3,51
7d50,8c,8b
7d56,e3,4c
7d5b,e3,55
7d5c,ee,6e
7d5c,fb,8b
7d5e,8d,69
7d61,97,8d
7d62,88,ba
7d63,e3,52
7d66,8b,8b
7d68,e3,4f
7d6e,e3,50
7d71,93,9d
7d72,e3,4e
7d73,e3,4b
7d75,8a,47
7d76,90,e2
7d79,8c,a6
7d7d,e3,57
7d89,e3,54
7d8f,e3,56
7d93,e3,53
7d99,8c,70
7d9a,91,b1
7d9b,e3,58
7d9c,91,8e
7d9f,e3,65
7da0,ee,70
7da0,fb,8d
7da2,e3,61
7da3,e3,5b
7dab,e3,5f
7dac,8e,f8
7dad,88,db
7dae,e3,5a
7daf,e3,62
7db0,e3,66
7db1,8d,6a
7db2,96,d4
7db4,92,d4
7db5,e3,5c
7db7,ee,6f
7db7,fb,8c
7db8,e3,64
7dba,e3,59
7dbb,92,5d
7dbd,e3,5e
7dbe,88,bb
7dbf,96,c8
7dc7,e3,5d
7dca,8b,d9
7dcb,94,ea
7dcf,91,8d
7dd1,97,ce
7dd2,8f,8f
7dd5,e3,8e
7dd6,ee,71
7dd6,fb,8e
7dd8,e3,67
7dda,90,fc
7ddc,e3,63
7ddd,e3,68
7dde,e3,6a
7de0,92,f7
7de1,e3,6d
7de4,e3,69
7de8,95,d2
7de9,8a,c9
7dec,96,c9
7def,88,dc
7df2,e3,6c
7df4,97,fb
7dfb,e3,6b
7e01,89,8f
7e04,93,ea
7e05,e3,6e
7e09,e3,75
7e0a,e3,6f
7e0b,e3,76
7e12,e3,72
7e1b,94,9b
7e1e,8e,c8
7e1f,e3,74
7e21,e3,71
7e22,e3,77
7e23,e3,70
7e26,8f,63
7e2b,96,44
7e2e,8f,6b
7e31,e3,73
7e32,e3,80
7e35,e3,7b
7e37,e3,7e
7e39,e3,7c
7e3a,e3,81
7e3b,e3,7a
7e3d,e3,60
7e3e,90,d1
7e41,94,c9
7e43,e3,7d
7e46,e3,78
7e4a,91,40
7e4b,8c,71
7e4d,8f,4a
7e52,ee,72
7e52,fb,8f
7e54,90,44
7e55,91,55
7e56,e3,84
7e59,e3,86
7e5a,e3,87
7e5d,e3,83
7e5e,e3,85
7e66,e3,79
7e67,e3,82
7e69,e3,8a
7e6a,e3,89
7e6d,96,9a
7e70,8c,4a
7e79,e3,88
7e7b,e3,8c
7e7c,e3,8b
7e7d,e3,8f
7e7f,e3,91
7e82,8e,5b
7e83,e3,8d
7e88,e3,92
7e89,e3,93
7e8a,ed,40
7e8a,fa,5c
7e8c,e3,94
7e8e,e3,9a
7e8f,93,5a
7e90,e3,96
7e92,e3,95
7e93,e3,97
7e94,e3,98
7e96,e3,99
7e9b,e3,9b
7e9c,e3,9c
7f36,8a,ca
7f38,e3,9d
7f3a,e3,9e
7f45,e3,9f
7f47,ee,73
7f47,fb,90
7f4c,e3,a0
7f4d,e3,a1
7f4e,e3,a2
7f50,e3,a3
7f51,e3,a4
7f54,e3,a6
7f55,e3,a5
7f58,e3,a7
7f5f,e3,a8
7f60,e3,a9
7f67,e3,ac
7f68,e3,aa
7f69,e3,ab
7f6a,8d,df
7f6b,8c,72
7f6e,92,75
7f70,94,b1
7f72,8f,90
7f75,94,6c
7f77,94,eb
7f78,e3,ad
7f79,9c,eb
7f82,e3,ae
7f83,e3,b0
7f85,97,85
7f86,e3,af
7f87,e3,b2
7f88,e3,b1
7f8a,97,72
7f8c,e3,b3
7f8e,94,fc
7f94,e3,b4
7f9a,e3,b7
7f9d,e3,b6
7f9e,e3,b5
7fa1,ee,74
7fa1,fb,91
7fa3,e3,b8
7fa4,8c,51
7fa8,91,41
7fa9,8b,60
7fae,e3,bc
7faf,e3,b9
7fb2,e3,ba
7fb6,e3,bd
7fb8,e3,be
7fb9,e3,bb
7fbd,89,48
7fc1,89,a5
7fc5,e3,c0
7fc6,e3,c1
7fca,e3,c2
7fcc,97,82
7fd2,8f,4b
7fd4,e3,c4
7fd5,e3,c3
7fe0,90,89
7fe1,e3,c5
7fe6,e3,c6
7fe9,e3,c7
7feb,8a,e3
7ff0,8a,cb
7ff3,e3,c8
7ff9,e3,c9
7ffb,96,7c
7ffc,97,83
8000,97,73
8001,98,56
8003,8d,6c
8004,e3,cc
8005,8e,d2
8006,e3,cb
800b,e3,cd
800c,8e,a7
8010,91,cf
8012,e3,ce
8015,8d,6b
8017,96,d5
8018,e3,cf
8019,e3,d0
801c,e3,d1
8021,e3,d2
8028,e3,d3
8033,8e,a8
8036,96,eb
803b,e3,d5
803d,92,5e
803f,e3,d4
8046,e3,d7
804a,e3,d6
8052,e3,d8
8056,90,b9
8058,e3,d9
805a,e3,da
805e,95,b7
805f,e3,db
8061,91,8f
8062,e3,dc
8068,e3,dd
806f,97,fc
8070,e3,e0
8072,e3,df
8073,e3,de
8074,92,ae
8076,e3,e1
8077,90,45
8079,e3,e2
807d,e3,e3
807e,98,57
807f,e3,e4
8084,e3,e5
8085,e3,e7
8086,e3,e6
8087,94,a3
8089,93,f7
808b,98,5d
808c,94,a7
8093,e3,e9
8096,8f,d1
8098,95,49
809a,e3,ea
809b,e3,e8
809d,8a,cc
80a1,8c,d2
80a2,8e,88
80a5,94,ec
80a9,8c,a8
80aa,96,62
80ac,e3,ed
80ad,e3,eb
80af,8d,6d
80b1,8d,6e
80b2,88,e7
80b4,8d,e6
80ba,94,78
80c3,88,dd
80c4,e3,f2
80c6,92,5f
80cc,94,77
80ce,91,d9
80d6,e3,f4
80d9,e3,f0
80da,e3,f3
80db,e3,ee
80dd,e3,f1
80de,96,45
80e1,8c,d3
80e4,88,fb
80e5,e3,ef
80ef,e3,f6
80f1,e3,f7
80f4,93,b7
80f8,8b,b9
80fc,e4,45
80fd,94,5c
8102,8e,89
8105,8b,ba
8106,90,c6
8107,98,65
8108,96,ac
8109,e3,f5
810a,90,d2
811a,8b,72
811b,e3,f8
8123,e3,fa
8129,e3,f9
812f,e3,fb
8131,92,45
8133,94,5d
8139,92,af
813e,e4,42
8146,e4,41
814b,e3,fc
814e,90,74
8150,95,85
8151,e4,44
8153,e4,43
8154,8d,6f
8155,98,72
815f,e4,54
8165,e4,48
8166,e4,49
816b,8e,ee
816e,e4,47
8170,8d,98
8171,e4,46
8174,e4,4a
8178,92,b0
8179,95,a0
817a,91,42
817f,91,da
8180,e4,4e
8182,e4,4f
8183,e4,4b
8188,e4,4c
818a,e4,4d
818f,8d,70
8193,e4,55
8195,e4,51
819a,95,86
819c,96,8c
819d,95,47
81a0,e4,50
81a3,e4,53
81a4,e4,52
81a8,96,63
81a9,e4,56
81b0,e4,57
81b3,91,56
81b5,e4,58
81b8,e4,5a
81ba,e4,5e
81bd,e4,5b
81be,e4,59
81bf,94,5e
81c0,e4,5c
81c2,e4,5d
81c6,89,b0
81c8,e4,64
81c9,e4,5f
81cd,e4,60
81d1,e4,61
81d3,91,9f
81d8,e4,63
81d9,e4,62
81da,e4,65
81df,e4,66
81e0,e4,67
81e3,90,62
81e5,89,e7
81e7,e4,68
81e8,97,d5
81ea,8e,a9
81ed,8f,4c
81f3,8e,8a
81f4,92,76
81fa,e4,69
81fb,e4,6a
81fc,89,50
81fe,e4,6b
8201,e4,6c
8202,e4,6d
8205,e4,6e
8207,e4,6f
8208,8b,bb
8209,9d,a8
820a,e4,70
820c,90,e3
820d,e4,71
820e,8e,c9
8210,e4,72
8212,98,ae
8216,e4,73
8217,95,dc
8218,8a,da
821b,91,43
821c,8f,77
821e,95,91
821f,8f,4d
8229,e4,74
822a,8d,71
822b,e4,75
822c,94,ca
822e,e4,84
8233,e4,77
8235,91,c7
8236,94,95
8237,8c,bd
8238,e4,76
8239,91,44
8240,e4,78
8247,92,f8
8258,e4,7a
8259,e4,79
825a,e4,7c
825d,e4,7b
825f,e4,7d
8262,e4,80
8264,e4,7e
8266,8a,cd
8268,e4,81
826a,e4,82
826b,e4,83
826e,8d,af
826f,97,c7
8271,e4,85
8272,90,46
8276,89,90
8277,e4,86
8278,e4,87
827e,e4,88
828b,88,f0
828d,e4,89
8292,e4,8a
8299,95,87
829d,8e,c5
829f,e4,8c
82a5,8a,48
82a6,88,b0
82ab,e4,8b
82ac,e4,8e
82ad,94,6d
82af,90,63
82b1,89,d4
82b3,96,46
82b8,8c,7c
82b9,8b,da
82bb,e4,8d
82bd,89,e8
82c5,8a,a1
82d1,89,91
82d2,e4,92
82d3,97,e8
82d4,91,db
82d7,95,63
82d9,e4,9e
82db,89,d5
82dc,e4,9c
82de,e4,9a
82df,e4,91
82e1,e4,8f
82e3,e4,90
82e5,8e,e1
82e6,8b,ea
82e7,92,97
82eb,93,cf
82f1,89,70
82f3,e4,94
82f4,e4,93
82f9,e4,99
82fa,e4,95
82fb,e4,98
8301,ee,76
8301,fb,93
8302,96,ce
8303,e4,97
8304,89,d6
8305,8a,9d
8306,e4,9b
8309,e4,9d
830e,8c,73
8316,e4,a1
8317,e4,aa
8318,e4,ab
831c,88,a9
8323,e4,b2
8328,88,ef
832b,e4,a9
832f,e4,a8
8331,e4,a3
8332,e4,a2
8334,e4,a0
8335,e4,9f
8336,92,83
8338,91,f9
8339,e4,a5
8340,e4,a4
8345,e4,a7
8349,91,90
834a,8c,74
834f,89,60
8350,e4,a6
8352,8d,72
8358,91,91
8362,ee,77
8362,fb,94
8373,e4,b8
8375,e4,b9
8377,89,d7
837b,89,ac
837c,e4,b6
837f,ee,78
837f,fb,95
8385,e4,ac
8387,e4,b4
8389,e4,bb
838a,e4,b5
838e,e4,b3
8393,e4,96
8396,e4,b1
839a,e4,ad
839e,8a,ce
839f,e4,af
83a0,e4,ba
83a2,e4,b0
83a8,e4,bc
83aa,e4,ae
83ab,94,9c
83b1,97,89
83b5,e4,b7
83bd,e4,cd
83c1,e4,c5
83c5,90,9b
83c7,ee,79
83c7,fb,96
83ca,8b,65
83cc,8b,db
83ce,e4,c0
83d3,89,d9
83d6,8f,d2
83d8,e4,c3
83dc,8d,d8
83df,93,70
83e0,e4,c8
83e9,95,ec
83eb,e4,bf
83ef,89,d8
83f0,8c,d4
83f1,95,48
83f2,e4,c9
83f4,e4,bd
83f6,ee,7a
83f6,fb,97
83f7,e4,c6
83fb,e4,d0
83fd,e4,c1
8403,e4,c2
8404,93,b8
8407,e4,c7
840b,e4,c4
840c,96,47
840d,e4,ca
840e,88,de
8413,e4,be
8420,e4,cc
8422,e4,cb
8429,94,8b
842a,e4,d2
842c,e4,dd
8431,8a,9e
8435,e4,e0
8438,e4,ce
843c,e4,d3
843d,97,8e
8446,e4,dc
8448,ee,7b
8448,fb,98
8449,97,74
844e,97,a8
8457,92,98
845b,8a,8b
8461,95,92
8462,e4,e2
8463,93,9f
8466,88,af
8469,e4,db
846b,e4,d7
846c,91,92
846d,e4,d1
846e,e4,d9
846f,e4,de
8471,94,4b
8475,88,a8
8477,e4,d6
8479,e4,df
847a,95,98
8482,e4,da
8484,e4,d5
848b,8f,d3
8490,8f,4e
8494,8e,aa
8499,96,d6
849c,95,66
849f,e4,e5
84a1,e4,ee
84ad,e4,d8
84b2,8a,97
84b4,ee,7c
84b4,fb,99
84b8,8f,f6
84b9,e4,e3
84bb,e4,e8
84bc,91,93
84bf,e4,e4
84c1,e4,eb
84c4,92,7e
84c6,e4,ec
84c9,97,75
84ca,e4,e1
84cb,8a,57
84cd,e4,e7
84d0,e4,ea
84d1,96,aa
84d6,e4,ed
84d9,e4,e6
84da,e4,e9
84dc,ed,44
84dc,fa,60
84ec,96,48
84ee,98,40
84f4,e4,f1
84fc,e4,f8
84ff,e4,f0
8500,8e,c1
8506,e4,cf
8511,95,cc
8513,96,a0
8514,e4,f7
8515,e4,f6
8517,e4,f2
8518,e4,f3
851a,89,55
851f,e4,f5
8521,e4,ef
8526,92,d3
852c,e4,f4
852d,88,fc
8535,91,a0
853d,95,c1
8540,e4,f9
8541,e5,40
8543,94,d7
8548,e4,fc
8549,8f,d4
854a,8e,c7
854b,e5,42
854e,8b,bc
8553,ee,7d
8553,fb,9a
8555,e5,43
8557,95,99
8558,e4,fb
8559,ee,7e
8559,fb,9b
855a,e4,d4
8563,e4,fa
8568,98,6e
8569,93,a0
856a,95,93
856b,ee,80
856b,fb,9c
856d,e5,4a
8577,e5,50
857e,e5,51
8580,e5,44
8584,94,96
8587,e5,4e
8588,e5,46
858a,e5,48
8590,e5,52
8591,e5,47
8594,e5,4b
8597,89,92
8599,93,e3
859b,e5,4c
859c,e5,4f
85a4,e5,45
85a6,91,45
85a8,e5,49
85a9,8e,46
85aa,90,64
85ab,8c,4f
85ac,96,f2
85ae,96,f7
85af,8f,92
85b0,ee,82
85b0,fb,9e
85b9,e5,56
85ba,e5,54
85c1,98,6d
85c9,e5,53
85cd,97,95
85cf,e5,55
85d0,e5,57
85d5,e5,58
85dc,e5,5b
85dd,e5,59
85e4,93,a1
85e5,e5,5a
85e9,94,cb
85ea,e5,4d
85f7,8f,93
85f9,e5,5c
85fa,e5,61
85fb,91,94
85fe,e5,60
8602,e5,41
8606,e5,62
8607,91,68
860a,e5,5d
860b,e5,5f
8613,e5,5e
8616,9f,50
8617,9f,41
861a,e5,64
8622,e5,63
862d,97,96
862f,e1,ba
8630,e5,65
863f,e5,66
864d,e5,67
864e,8c,d5
8650,8b,73
8654,e5,69
8655,99,7c
865a,8b,95
865c,97,b8
865e,8b,f1
865f,e5,6a
8667,e5,6b
866b,92,8e
8671,e5,6c
8679,93,f8
867b,88,b8
868a,89,e1
868b,e5,71
868c,e5,72
8693,e5,6d
8695,8e,5c
86a3,e5,6e
86a4,94,61
86a9,e5,6f
86aa,e5,70
86ab,e5,7a
86af,e5,74
86b0,e5,77
86b6,e5,73
86c4,e5,75
86c6,e5,76
86c7,8e,d6
86c9,e5,78
86cb,92,60
86cd,8c,75
86ce,8a,61
86d4,e5,7b
86d9,8a,5e
86db,e5,81
86de,e5,7c
86df,e5,80
86e4,94,b8
86e9,e5,7d
86ec,e5,7e
86ed,95,67
86ee,94,d8
86ef,e5,82
86f8,91,fb
86f9,e5,8c
86fb,e5,88
86fe,89,e9
8700,e5,86
8702,96,49
8703,e5,87
8706,e5,84
8708,e5,85
8709,e5,8a
870a,e5,8d
870d,e5,8b
8711,e5,89
8712,e5,83
8718,92,77
871a,e5,94
871c,96,a8
8725,e5,92
8729,e5,93
8734,e5,8e
8737,e5,90
873b,e5,91
873f,e5,8f
8749,90,e4
874b,98,58
874c,e5,98
874e,e5,99
8753,e5,9f
8755,90,49
8757,e5,9b
8759,e5,9e
875f,e5,96
8760,e5,95
8763,e5,a0
8766,89,da
8768,e5,9c
876a,e5,a1
876e,e5,9d
8774,e5,9a
8776,92,b1
8778,e5,97
877f,94,88
8782,e5,a5
878d,97,5a
879f,e5,a4
87a2,e5,a3
87ab,e5,ac
87af,e5,a6
87b3,e5,ae
87ba,97,86
87bb,e5,b1
87bd,e5,a8
87c0,e5,a9
87c4,e5,ad
87c6,e5,b0
87c7,e5,af
87cb,e5,a7
87d0,e5,aa
87d2,e5,bb
87e0,e5,b4
87ef,e5,b2
87f2,e5,b3
87f6,e5,b8
87f7,e5,b9
87f9,8a,49
87fb,8b,61
87fe,e5,b7
8805,e5,a2
8807,ee,85
8807,fb,a1
880d,e5,b6
880e,e5,ba
880f,e5,b5
8811,e5,bc
8815,e5,be
8816,e5,bd
8821,e5,c0
8822,e5,bf
8823,e5,79
8827,e5,c4
8831,e5,c1
8836,e5,c2
8839,e5,c3
883b,e5,c5
8840,8c,8c
8842,e5,c7
8844,e5,c6
8846,8f,4f
884c,8d,73
884d,9f,a5
8852,e5,c8
8853,8f,70
8857,8a,58
8859,e5,c9
885b,89,71
885d,8f,d5
885e,e5,ca
8861,8d,74
8862,e5,cb
8863,88,df
8868,95,5c
886b,e5,cc
8870,90,8a
8872,e5,d3
8875,e5,d0
8877,92,8f
887d,e5,d1
887e,e5,ce
887f,8b,dc
8881,e5,cd
8882,e5,d4
8888,8c,55
888b,91,dc
888d,e5,da
8892,e5,d6
8896,91,b3
8897,e5,d5
8899,e5,d8
889e,e5,cf
88a2,e5,d9
88a4,e5,db
88ab,94,ed
88ae,e5,d7
88b0,e5,dc
88b1,e5,de
88b4,8c,d1
88b5,e5,d2
88b7,88,bf
88bf,e5,dd
88c1,8d,d9
88c2,97,f4
88c3,e5,df
88c4,e5,e0
88c5,91,95
88cf,97,a0
88d4,e5,e1
88d5,97,54
88d8,e5,e2
88d9,e5,e3
88dc,95,e2
88dd,e5,e4
88df,8d,be
88e1,97,a1
88e8,e5,e9
88f2,e5,ea
88f3,8f,d6
88f4,e5,e8
88f5,ee,86
88f5,fb,a2
88f8,97,87
88f9,e5,e5
88fc,e5,e7
88fd,90,bb
88fe,90,9e
8902,e5,e6
8904,e5,eb
8907,95,a1
890a,e5,ed
890c,e5,ec
8910,8a,8c
8912,96,4a
8913,e5,ee
891c,ed,41
891c,fa,5d
891d,e5,fa
891e,e5,f0
8925,e5,f1
892a,e5,f2
892b,e5,f3
8936,e5,f7
8938,e5,f8
893b,e5,f6
8941,e5,f4
8943,e5,ef
8944,e5,f5
894c,e5,f9
894d,e8,b5
8956,89,a6
895e,e5,fc
895f,8b,dd
8960,e5,fb
8964,e6,41
8966,e6,40
896a,e6,43
896d,e6,42
896f,e6,44
8972,8f,50
8974,e6,45
8977,e6,46
897e,e6,47
897f,90,bc
8981,97,76
8983,e6,48
8986,95,a2
8987,94,65
8988,e6,49
898a,e6,4a
898b,8c,a9
898f,8b,4b
8993,e6,4b
8996,8e,8b
8997,94,60
8998,e6,4c
899a,8a,6f
89a1,e6,4d
89a6,e6,4f
89a7,97,97
89a9,e6,4e
89aa,90,65
89ac,e6,50
89af,e6,51
89b2,e6,52
89b3,8a,cf
89ba,e6,53
89bd,e6,54
89bf,e6,55
89c0,e6,56
89d2,8a,70
89da,e6,57
89dc,e6,58
89dd,e6,59
89e3,89,f0
89e6,90,47
89e7,e6,5a
89f4,e6,5b
89f8,e6,5c
8a00,8c,be
8a02,92,f9
8a03,e6,5d
8a08,8c,76
8a0a,90,75
8a0c,e6,60
8a0e,93,a2
8a10,e6,5f
8a12,ee,87
8a12,fb,a3
8a13,8c,50
8a16,e6,5e
8a17,91,f5
8a18,8b,4c
8a1b,e6,61
8a1d,e6,62
8a1f,8f,d7
8a23,8c,8d
8a25,e6,63
8a2a,96,4b
8a2d,90,dd
8a31,8b,96
8a33,96,f3
8a34,91,69
8a36,e6,64
8a37,ee,88
8a37,fb,a4
8a3a,90,66
8a3b,92,90
8a3c,8f,d8
8a41,e6,65
8a46,e6,68
8a48,e6,69
8a50,8d,bc
8a51,91,c0
8a52,e6,67
8a54,8f,d9
8a55,95,5d
8a5b,e6,66
8a5e,8e,8c
8a60,89,72
8a62,e6,6d
8a63,8c,77
8a66,8e,8e
8a69,8e,8d
8a6b,98,6c
8a6c,e6,6c
8a6d,e6,6b
8a6e,91,46
8a70,8b,6c
8a71,98,62
8a72,8a,59
8a73,8f,da
8a79,ee,89
8a79,fb,a5
8a7c,e6,6a
8a82,e6,6f
8a84,e6,70
8a85,e6,6e
8a87,8c,d6
8a89,97,5f
8a8c,8e,8f
8a8d,94,46
8a91,e6,73
8a93,90,be
8a95,92,61
8a98,97,55
8a9a,e6,76
8a9e,8c,ea
8aa0,90,bd
8aa1,e6,72
8aa3,e6,77
8aa4,8c,eb
8aa5,e6,74
8aa6,e6,75
8aa7,ee,8a
8aa7,fb,a6
8aa8,e6,71
8aac,90,e0
8aad,93,c7
8ab0,92,4e
8ab2,89,db
8ab9,94,ee
8abc,8b,62
8abe,ee,8b
8abe,fb,a7
8abf,92,b2
8ac2,e6,7a
8ac4,e6,78
8ac7,92,6b
8acb,90,bf
8acc,8a,d0
8acd,e6,79
8acf,90,7a
8ad2,97,c8
8ad6,98,5f
8ada,e6,7b
8adb,e6,87
8adc,92,b3
8ade,e6,86
8adf,ee,8c
8adf,fb,a8
8ae0,e6,83
8ae1,e6,8b
8ae2,e6,84
8ae4,e6,80
8ae6,92,fa
8ae7,e6,7e
8aeb,e6,7c
8aed,97,40
8aee,8e,90
8af1,e6,81
8af3,e6,7d
8af6,ee,8e
8af6,fb,aa
8af7,e6,85
8af8,8f,94
8afa,8c,bf
8afe,91,f8
8b00,96,64
8b01,89,79
8b02,88,e0
8b04,93,a3
8b07,e6,89
8b0c,e6,88
8b0e,93,e4
8b10,e6,8d
8b14,e6,82
8b16,e6,8c
8b17,e6,8e
8b19,8c,aa
8b1a,e6,8a
8b1b,8d,75
8b1d,8e,d3
8b20,e6,8f
8b21,97,77
8b26,e6,92
8b28,e6,95
8b2b,e6,93
8b2c,95,54
8b33,e6,90
8b39,8b,de
8b3e,e6,94
8b41,e6,96
8b49,e6,9a
8b4c,e6,97
8b4e,e6,99
8b4f,e6,98
8b53,ee,8f
8b53,fb,ab
8b56,e6,9b
8b58,8e,af
8b5a,e6,9d
8b5b,e6,9c
8b5c,95,88
8b5f,e6,9f
8b66,8c,78
8b6b,e6,9e
8b6c,e6,a0
8b6f,e6,a1
8b70,8b,63
8b71,e3,bf
8b72,8f,f7
8b74,e6,a2
8b77,8c,ec
8b7d,e6,a3
8b7f,ee,90
8b7f,fb,ac
8b80,e6,a4
8b83,8e,5d
8b8a,9d,cc
8b8c,e6,a5
8b8e,e6,a6
8b90,8f,51
8b92,e6,a7
8b93,e6,a8
8b96,e6,a9
8b99,e6,aa
8b9a,e6,ab
8c37,92,4a
8c3a,e6,ac
8c3f,e6,ae
8c41,e6,ad
8c46,93,a4
8c48,e6,af
8c4a,96,4c
